"{'StartPoseId': '3980', 'AnimId': '-1', 'AnimType': 'IdleSet', 'Age': '1000.02', 'DecayAge': '0.02', 'Weight': '1', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'Idle_Neutral_1'}","{'StartPoseId': '3624', 'AnimId': '34', 'AnimType': 'Clip', 'Age': '0.02', 'DecayAge': '0', 'Weight': '0.1045285', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'SmallStep'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3980', 'AnimId': '-1', 'AnimType': 'IdleSet', 'Age': '1000.04', 'DecayAge': '0.04', 'Weight': '0.8954716', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'Idle_Neutral_1'}","{'StartPoseId': '3624', 'AnimId': '34', 'AnimType': 'Clip', 'Age': '0.04', 'DecayAge': '0.02', 'Weight': '0.1045285', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'SmallStep'}","{'StartPoseId': '3529', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.02', 'DecayAge': '0', 'Weight': '0.1045285', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3980', 'AnimId': '-1', 'AnimType': 'IdleSet', 'Age': '1000.373', 'DecayAge': '0.3733333', 'Weight': '0.7920883', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'Idle_Neutral_1'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.3333333', 'DecayAge': '0', 'Weight': '1', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.050104', 'DecayAge': '0', 'Weight': '0.259345', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.3834373', 'DecayAge': '0.050104', 'Weight': '1', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3204', 'AnimId': '29', 'AnimType': 'Clip', 'Age': '0.0231631', 'DecayAge': '0', 'Weight': '0.1209846', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_R_2'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.0732671', 'DecayAge': '0.0231631', 'Weight': '0.259345', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.4066004', 'DecayAge': '0.0732671', 'Weight': '0.740655', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3204', 'AnimId': '29', 'AnimType': 'Clip', 'Age': '0.0306814', 'DecayAge': '0', 'Weight': '0.1599573', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_R_2'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.0807854', 'DecayAge': '0.0306814', 'Weight': '0.2279682', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.4141187', 'DecayAge': '0.0807854', 'Weight': '0.625715', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3204', 'AnimId': '29', 'AnimType': 'Clip', 'Age': '0.0358993', 'DecayAge': '0', 'Weight': '0.1868633', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_R_2'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.0860033', 'DecayAge': '0.0358993', 'Weight': '0.2178609', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.4193366', 'DecayAge': '0.0860033', 'Weight': '0.58951', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3204', 'AnimId': '29', 'AnimType': 'Clip', 'Age': '0.0412395', 'DecayAge': '0', 'Weight': '0.2142555', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_R_2'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.09134351', 'DecayAge': '0.0412395', 'Weight': '0.2108829', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.4246768', 'DecayAge': '0.09134351', 'Weight': '0.5647534', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3204', 'AnimId': '29', 'AnimType': 'Clip', 'Age': '0.0464709', 'DecayAge': '0', 'Weight': '0.2409272', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_R_2'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.09657491', 'DecayAge': '0.0464709', 'Weight': '0.2037789', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.4299082', 'DecayAge': '0.09657491', 'Weight': '0.539753', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
"{'StartPoseId': '3204', 'AnimId': '29', 'AnimType': 'Clip', 'Age': '0.052289', 'DecayAge': '0', 'Weight': '0.270377', 'BlendStatus': 'Chosen', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_R_2'}","{'StartPoseId': '3180', 'AnimId': '28', 'AnimType': 'Clip', 'Age': '0.102393', 'DecayAge': '0.052289', 'Weight': '0.1968617', 'BlendStatus': 'Decaying', 'Speed': '1', 'Primary clip': 'PlantNTurn180_Run_L_2'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '3533', 'AnimId': '32', 'AnimType': 'Clip', 'Age': '0.4357263', 'DecayAge': '0.102393', 'Weight': '0.5156107', 'BlendStatus': 'Dominant', 'Speed': '1', 'Primary clip': 'RunForwardStart'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}","{'StartPoseId': '0', 'AnimId': '0', 'AnimType': 'Composite', 'Age': '0', 'DecayAge': '0', 'Weight': '0', 'BlendStatus': 'None', 'Speed': '0', 'Primary clip': 'RunArcLeft_Narrow'}"
